Struthio camelus
Agelastes meleagrides
Agelastes niger
Numida meleagris
Guttera plumifera
Guttera pucherani
Acryllium vulturinum
Dendrortyx barbatus
Dendrortyx macroura
Dendrortyx leucophrys
Oreortyx pictus
Callipepla squamata
Callipepla douglasii
Callipepla californica
Callipepla gambelii
Philortyx fasciatus
Colinus virginianus
Colinus nigrogularis
Colinus cristatus
Odontophorus gujanensis
Odontophorus capueira
Odontophorus melanotis
Odontophorus erythrops
Odontophorus atrifrons
Odontophorus hyperythrus
Odontophorus melanonotus
Odontophorus speciosus
Odontophorus dialeucos
Odontophorus strophium
Odontophorus columbianus
Odontophorus leucolaemus
Odontophorus balliviani
Odontophorus stellatus
Odontophorus guttatus
Dactylortyx thoracicus
Cyrtonyx montezumae
Cyrtonyx ocellatus
Rhynchortyx cinctus
Anhima cornuta
Chauna chavaria
Chauna torquata
Anseranas semipalmata
Dendrocygna guttata
Dendrocygna eytoni
Dendrocygna bicolor
Dendrocygna arcuata
Dendrocygna javanica
Dendrocygna viduata
Dendrocygna arborea
Dendrocygna autumnalis
Thalassornis leuconotus
Oxyura dominica
Oxyura jamaicensis
Oxyura ferruginea
Oxyura leucocephala
Oxyura maccoa
Oxyura vittata
Oxyura australis
Biziura lobata
Heteronetta atricapilla
Stictonetta naevosa
Cygnus olor
Cygnus atratus
Cygnus melanocorypha
Cygnus cygnus
Cygnus buccinator
Cygnus columbianus
Coscoroba coscoroba
Anser cygnoides
Anser brachyrhynchus
Anser fabalis
Anser albifrons
Anser erythropus
Anser anser
Anser indicus
Anser caerulescens
Anser rossii
Anser canagica
Branta sandvicensis
Branta canadensis
Branta leucopsis
Branta bernicla
Branta ruficollis
Cereopsis novaehollandiae
Cyanochen cyanopterus
Chloephaga melanoptera
Chloephaga picta
Chloephaga hybrida
Chloephaga poliocephala
Chloephaga rubidiceps
Neochen jubata
Alopochen aegyptiacus
Tadorna ferruginea
Tadorna cana
Tadorna tadornoides
Tadorna variegata
Tadorna cristata
Tadorna tadorna
Tadorna radjah
Tachyeres pteneres
Tachyeres leucocephalus
Tachyeres brachypterus
Tachyeres patachonicus
Plectropterus gambensis
Cairina moschata
Cairina scutulata
Pteronetta hartlaubii
Sarkidiornis melanotos
Nettapus pulchellus
Nettapus coromandelianus
Nettapus auritus
Callonetta leucophrys
Aix sponsa
Aix galericulata
Chenonetta jubata
Amazonetta brasiliensis
Merganetta armata
Hymenolaimus malacorhynchus
Salvadorina waigiuensis
Anas specularioides
Anas specularis
Anas capensis
Anas strepera
Anas falcata
Anas penelope
Anas americana
Anas sibilatrix
Anas sparsa
Anas rubripes
Anas fulvigula
Anas platyrhynchos
Anas wyvilliana
Anas laysanensis
Anas poecilorhyncha
Anas luzonica
Anas superciliosa
Anas undulata
Anas melleri
Anas discors
Anas cyanoptera
Anas smithii
Anas platalea
Anas rhynchotis
Anas clypeata
Anas bernieri
Anas gibberifrons
Anas gracilis
Anas castanea
Anas aucklandica
Anas bahamensis
Anas erythrorhyncha
Anas flavirostris
Anas acuta
Anas eatoni
Anas georgica
Anas querquedula
Anas formosa
Anas crecca
Anas puna
Anas versicolor
Anas hottentota
Malacorhynchus membranaceus
Marmaronetta angustirostris
Rhodonessa caryophyllacea
Netta rufina
Netta peposaca
Netta erythrophthalma
Aythya ferina
Aythya valisineria
Aythya americana
Aythya collaris
Aythya nyroca
Aythya innotata
Aythya baeri
Aythya australis
Aythya fuligula
Aythya novaeseelandiae
Aythya marila
Aythya affinis
Somateria mollissima
Somateria spectabilis
Somateria fischeri
Polysticta stelleri
Camptorhynchus labradorius
Histrionicus histrionicus
Clangula hyemalis
Melanitta nigra
Melanitta perspicillata
Melanitta fusca
Bucephala clangula
Bucephala islandica
Bucephala albeola
Mergellus albellus
Lophodytes cucullatus
Mergus octosetaceus
Mergus serrator
Mergus squamatus
Mergus merganser
Mergus australis
Turnix sylvatica
Turnix maculosa
Turnix nana
Turnix hottentotta
Turnix tanki
Turnix ocellata
Turnix suscitator
Turnix nigricollis
Turnix melanogaster
Turnix castanota
Turnix olivii
Turnix varia
Turnix worcesteri
Turnix everetti
Turnix pyrrhothorax
Turnix velox
Ortyxelos meiffrenii
Indicator maculatus
Indicator variegatus
Indicator indicator
Indicator archipelagicus
Indicator minor
Indicator conirostris
Indicator willcocksi
Indicator exilis
Indicator pumilio
Indicator meliphilus
Indicator xanthonotus
Melichneutes robustus
Melignomon eisentrauti
Melignomon zenkeri
Prodotiscus insignis
Prodotiscus zambesiae
Prodotiscus regulus
Jynx torquilla
Jynx ruficollis
Picumnus innominatus
Picumnus aurifrons
Picumnus pumilus
Picumnus lafresnayi
Picumnus exilis
Picumnus fuscus
Picumnus sclateri
Picumnus squamulatus
Picumnus spilogaster
Picumnus minutissimus
Picumnus pygmaeus
Picumnus steindachneri
Picumnus varzeae
Picumnus cirratus
Picumnus dorbygnianus
Picumnus temminckii
Picumnus albosquamatus
Picumnus rufiventris
Picumnus fulvescens
Picumnus limae
Picumnus nebulosus
Picumnus castelnau
Picumnus subtilis
Picumnus olivaceus
Picumnus granadensis
Picumnus cinnamomeus
Sasia africana
Sasia abnormis
Sasia ochracea
Nesoctites micromegas
Melanerpes candidus
Melanerpes lewis
Melanerpes herminieri
Melanerpes portoricensis
Melanerpes erythrocephalus
Melanerpes formicivorus
Melanerpes pucherani
Melanerpes chrysauchen
Melanerpes cruentatus
Melanerpes flavifrons
Melanerpes cactorum
Melanerpes striatus
Melanerpes radiolatus
Melanerpes chrysogenys
Melanerpes hypopolius
Melanerpes pygmaeus
Melanerpes rubricapillus
Melanerpes uropygialis
Melanerpes carolinus
Melanerpes superciliaris
Melanerpes aurifrons
Melanerpes hoffmannii
Sphyrapicus varius
Sphyrapicus nuchalis
Sphyrapicus ruber
Sphyrapicus thyroideus
Xiphidiopicus percussus
Campethera punctuligera
Campethera nubica
Campethera bennettii
Campethera scriptoricauda
Campethera abingoni
Campethera mombassica
Campethera notata
Campethera maculosa
Campethera cailliautii
Campethera tullbergi
Campethera nivosa
Campethera caroli
Geocolaptes olivaceus
Dendropicos elachus
Dendropicos poecilolaemus
Dendropicos abyssinicus
Dendropicos fuscescens
Dendropicos lugubris
Dendropicos gabonensis
Dendropicos stierlingi
Dendropicos namaquus
Dendropicos pyrrhogaster
